2025-09-08 16:46:11 JST - INFO - 損失: Conv=72.196, Seq=56.557, Dist=0.017, 総計=128.770
2025-09-08 16:46:12 JST - INFO - 損失: Conv=60.075, Seq=48.554, Dist=0.018, 総計=108.647
2025-09-08 16:46:12 JST - INFO - 損失: Conv=81.546, Seq=57.441, Dist=0.016, 総計=139.003
2025-09-08 16:46:12 JST - INFO - 損失: Conv=72.766, Seq=48.410, Dist=0.029, 総計=121.205
2025-09-08 16:46:13 JST - INFO - 損失: Conv=75.595, Seq=56.980, Dist=0.014, 総計=132.588
2025-09-08 16:46:13 JST - INFO - 損失: Conv=59.208, Seq=59.359, Dist=0.009, 総計=118.576
2025-09-08 16:46:14 JST - INFO - 損失: Conv=71.778, Seq=60.473, Dist=0.010, 総計=132.261
2025-09-08 16:46:14 JST - INFO - 損失: Conv=64.959, Seq=54.041, Dist=0.012, 総計=119.012
2025-09-08 16:46:14 JST - INFO - 損失: Conv=85.271, Seq=64.370, Dist=0.017, 総計=149.659
2025-09-08 16:46:15 JST - INFO - 損失: Conv=66.260, Seq=54.698, Dist=0.024, 総計=120.982
2025-09-08 16:46:15 JST - INFO - 損失: Conv=48.657, Seq=53.857, Dist=0.008, 総計=102.523
2025-09-08 16:46:16 JST - INFO - 損失: Conv=65.639, Seq=59.276, Dist=0.011, 総計=124.926
2025-09-08 16:46:16 JST - INFO - 損失: Conv=63.090, Seq=53.890, Dist=0.012, 総計=116.991
2025-09-08 16:46:16 JST - INFO - 損失: Conv=77.011, Seq=61.590, Dist=0.016, 総計=138.617
2025-09-08 16:46:17 JST - INFO - 損失: Conv=44.880, Seq=45.066, Dist=0.008, 総計=89.955
2025-09-08 16:46:17 JST - INFO - 損失: Conv=63.739, Seq=47.517, Dist=0.025, 総計=111.281
2025-09-08 16:46:18 JST - INFO - 損失: Conv=64.660, Seq=59.558, Dist=0.016, 総計=124.233
2025-09-08 16:46:18 JST - INFO - 損失: Conv=71.484, Seq=53.257, Dist=0.021, 総計=124.763
2025-09-08 16:46:19 JST - INFO - 損失: Conv=61.527, Seq=54.266, Dist=0.020, 総計=115.812
2025-09-08 16:46:19 JST - INFO - 損失: Conv=54.142, Seq=51.740, Dist=0.014, 総計=105.896
2025-09-08 16:46:19 JST - INFO - 損失: Conv=60.089, Seq=51.434, Dist=0.017, 総計=111.540
2025-09-08 16:46:20 JST - INFO - 損失: Conv=65.790, Seq=50.950, Dist=0.036, 総計=116.776
2025-09-08 16:46:20 JST - INFO - 損失: Conv=51.454, Seq=45.604, Dist=0.018, 総計=97.076
2025-09-08 16:46:20 JST - INFO - 損失: Conv=35.345, Seq=42.459, Dist=0.009, 総計=77.813
2025-09-08 16:46:21 JST - INFO - 損失: Conv=50.038, Seq=50.164, Dist=0.016, 総計=100.217
2025-09-08 16:46:21 JST - INFO - 損失: Conv=56.729, Seq=59.356, Dist=0.012, 総計=116.096
2025-09-08 16:46:22 JST - INFO - 損失: Conv=33.591, Seq=40.062, Dist=0.009, 総計=73.662
2025-09-08 16:46:22 JST - INFO - 損失: Conv=39.375, Seq=45.386, Dist=0.010, 総計=84.771
2025-09-08 16:46:22 JST - INFO - 損失: Conv=63.505, Seq=53.994, Dist=0.036, 総計=117.534
2025-09-08 16:46:23 JST - INFO - 損失: Conv=48.392, Seq=55.947, Dist=0.012, 総計=104.351
2025-09-08 16:46:23 JST - INFO - 損失: Conv=41.797, Seq=43.024, Dist=0.024, 総計=84.844
2025-09-08 16:46:24 JST - INFO - 損失: Conv=46.017, Seq=52.773, Dist=0.014, 総計=98.804
2025-09-08 16:46:24 JST - INFO - 損失: Conv=54.387, Seq=61.773, Dist=0.019, 総計=116.179
2025-09-08 16:46:24 JST - INFO - 損失: Conv=40.243, Seq=50.365, Dist=0.012, 総計=90.620
2025-09-08 16:46:25 JST - INFO - 損失: Conv=70.953, Seq=61.950, Dist=0.047, 総計=132.950
2025-09-08 16:46:25 JST - INFO - 損失: Conv=40.025, Seq=49.990, Dist=0.013, 総計=90.028
2025-09-08 16:46:25 JST - INFO - 損失: Conv=33.988, Seq=42.563, Dist=0.015, 総計=76.567
2025-09-08 16:46:26 JST - INFO - 損失: Conv=35.738, Seq=46.550, Dist=0.011, 総計=82.299
2025-09-08 16:46:26 JST - INFO - 損失: Conv=47.001, Seq=54.997, Dist=0.021, 総計=102.019
2025-09-08 16:46:26 JST - INFO - 損失: Conv=42.993, Seq=51.433, Dist=0.019, 総計=94.445
2025-09-08 16:46:27 JST - INFO - 損失: Conv=45.047, Seq=66.096, Dist=0.007, 総計=111.151
2025-09-08 16:46:27 JST - INFO - 損失: Conv=39.980, Seq=57.601, Dist=0.011, 総計=97.592
2025-09-08 16:46:28 JST - INFO - 損失: Conv=36.359, Seq=53.727, Dist=0.009, 総計=90.095
